text,speaker,season,episode,scene,utterance
You kissed another woman!,Monica Geller,8,2,11,44
Call it even?!,Chandler Bing,8,2,11,45
Okay!,Monica Geller,8,2,11,46
"Well, I'm gonna go get these in some water.",Ross Geller,8,2,11,47
Wait you stole those from these people's wedding?,Phoebe Buffay,8,2,11,48
"No-no, I took them from the hotel lobby. Yeah, they think they can charge me for some dirty movie and a bag of Mashuga nuts, they got another think coming. Hey! My sweater! I've been looking for this for like a month!",Ross Geller,8,2,11,49
(He exits leaving a stunned Phoebe and Monica.),Scene Directions,8,2,11,50
Oh my God!!,NA,8,2,11,51
Oh my God!,Joey Tribbiani,8,2,11,52
"[Scene: A Street, Ross walks past Tag wearing the same red sweater.]",Scene Directions,8,2,12,1
Hey! How you doing?,Ross Geller,8,2,12,2
"Good! Good, long time no see.",Tag Jones,8,2,12,3
Yeah.,Ross Geller,8,2,12,4
Like your sweater.,Tag Jones,8,2,12,5
"Oh hey, right back at ya.",Ross Geller,8,2,12,6
"Oh, it's crazy about Rachel huh?",Tag Jones,8,2,12,7
"Yeah. She-Well, she's one crazy lady?",Ross Geller,8,2,12,8
So whose is it?,Tag Jones,8,2,12,9
"Umm, I don't some Italian guy. Come on, read your own label. See you later.",Ross Geller,8,2,12,10
Okay.,Tag Jones,8,2,12,11
(They separate.),Scene Directions,8,2,12,12
He is so weird.,Ross Geller,8,2,12,13
