text,speaker,season,episode,scene,utterance
"Oh sure, come here! Sure you can! Uh, look come here look, it's-it's-it's, it's right there .",Ross Geller,8,3,11,51
"Oh. Oh, it's beautiful. I see it now.",Rachel Green,8,3,11,52
Do you really?,Ross Geller,8,3,11,53
"No, I don't see it!",Rachel Green,8,3,11,54
"Come on! Come on! Here, okay-okay, you see this? This tiny thing that looks like a peanut?",Ross Geller,8,3,11,55
Yeah.,Rachel Green,8,3,11,56
Sweetie that's it.,Ross Geller,8,3,11,57
"That's it? Well I saw that! Ohh-ohh-oh, thank you.",Rachel Green,8,3,11,58
You're welcome.,Ross Geller,8,3,11,59
Wow! I can't believe that's our baby.,Rachel Green,8,3,11,60
"Yeah, that's our baby.",Ross Geller,8,3,11,61
"[Scene: Joey and Rachel's, Joey and Phoebe are there as Rachel and Ross return from the doctor's appointment.]",Scene Directions,8,3,12,1
Hi.,Rachel Green,8,3,12,2
Hey!,Joey Tribbiani,8,3,12,3
Hey! So how was the doctor?,Phoebe Buffay,8,3,12,4
"Oh, everything went great.",Rachel Green,8,3,12,5
Good.,Phoebe Buffay,8,3,12,6
"Oh hey, show them the picture of your uterus.",Ross Geller,8,3,12,7
(She does so.),Scene Directions,8,3,12,8
Oh.,Phoebe Buffay,8,3,12,9
I don't see the baby. Where is it?,Joey Tribbiani,8,3,12,10
"Oh no, I know I couldn't see it either at first, but it's right umm... Ross, I lost it again.",Rachel Green,8,3,12,11
Oh. (He takes the picture and hugs her.,Ross Geller,8,3,12,12
